type,firm_name,contact_name,position,phone,email,linkedin,website,address,state,source_url
firm,AAB Lawyers,,,,reception@aablawyers.com.au,,https://www.aablawyers.com.au/,"Suite 6, 28-32 Gloucester Ave, Berwick 3806",,https://www.familylaw.com.au/law-practice/aab-lawyers/
lawyer,AAB Lawyers,Anna Bulner,Principal,,,https://au.linkedin.com/in/anna-bulner-67125991,https://www.aablawyers.com.au/,"Suite 6, 28-32 Gloucester Ave, Berwick 3806",,https://www.familylaw.com.au/lawyer/anna-bulner/
firm,Abbott Delaney Lawyers,,,,mail@abbottdelaneylawyers.com.au,,https://www.abbottdelaney.com.au,"Level 1/117 York St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/law-practice/abbott-delaney-lawyers/
lawyer,Abbott Delaney Lawyers,Rachael Abbott,Director,,,https://au.linkedin.com/in/rachael-abbott-1649a649,https://www.abbottdelaney.com.au,"Level 1/117 York St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/rachael-abbott/
lawyer,Abbott Delaney Lawyers,Graeme Robert Hearl,Senior Partner,,,https://au.linkedin.com/in/graeme-hearl-a185209b,https://www.abbottdelaney.com.au,"Level 1/117 York St, Sydney NSW 2000",NSW,https://www.familylaw.com.au/lawyer/graeme-robert-hearl/
firm,Accord Family Law,,,,maitken@accordfamilylaw.com.au,,https://accordfamilylaw.com.au/,"624 Camberwell Rd, Camberwell VIC 3124",VIC,https://www.familylaw.com.au/law-practice/accord-family-law/
lawyer,Accord Family Law,Joanne Dexter,Lawyer,,,https://au.linkedin.com/in/joanne-dexter-90a052164,https://accordfamilylaw.com.au/,"624 Camberwell Rd, Camberwell VIC 3124",VIC,https://www.familylaw.com.au/lawyer/joanne-dexter/
lawyer,Accord Family Law,Belinda Spong,Principal,,,https://au.linkedin.com/in/belinda-spong-81b435a,https://accordfamilylaw.com.au/,"624 Camberwell Rd, Camberwell VIC 3124",VIC,https://www.familylaw.com.au/lawyer/belinda-spong/
firm,Adelta Legal,,,,lawyers@adelta.com.au,,http://www.adelta.com.au,"3/104 Frome St, Adelaide SA 5000",SA,https://www.familylaw.com.au/law-practice/adelta-legal/
lawyer,Adelta Legal,Ian Charman,Consultant,,,https://au.linkedin.com/in/ian-charman-497b3841,http://www.adelta.com.au,"3/104 Frome St, Adelaide SA 5000",SA,https://www.familylaw.com.au/lawyer/ian-charman/
